<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20180808;0;169.74;10093500
SBERP;D;20180809;0;170;17975000
SBERP;D;20180810;0;162.86;9850200
SBERP;D;20180813;0;162.34;12872400
SBERP;D;20180814;0;163.42;6267400
SBERP;D;20180815;0;161.4;4143100
SBERP;D;20180816;0;164.3;3438300
SBERP;D;20180817;0;162.25;3244100
SBERP;D;20180820;0;164.92;5113700
SBERP;D;20180821;0;164.81;2301900
SBERP;D;20180822;0;162.12;4548700
SBERP;D;20180823;0;156.66;10673300
SBERP;D;20180824;0;157.85;11400500
SBERP;D;20180827;0;161.35;5229100
SBERP;D;20180828;0;160.61;4607600
SBERP;D;20180829;0;160.53;4032100
SBERP;D;20180830;0;156.96;4254100
SBERP;D;20180831;0;159.49;4533300
SBERP;D;20180903;0;158.53;3137600
SBERP;D;20180904;0;156.59;3057300
SBERP;D;20180905;0;155.23;6842700
SBERP;D;20180906;0;152.2;6496500
SBERP;D;20180907;0;151.77;5130000
SBERP;D;20180910;0;148.36;13840300
SBERP;D;20180911;0;144.97;10504100
SBERP;D;20180912;0;148.34;13114800
SBERP;D;20180913;0;155.05;17123200
SBERP;D;20180914;0;159.5;9003500
SBERP;D;20180917;0;159.12;6026700
SBERP;D;20180918;0;163.9;5806500
SBERP;D;20180919;0;165.41;6261400
SBERP;D;20180920;0;165.7;10396600
SBERP;D;20180921;0;165.5;5895100
SBERP;D;20180924;0;169.85;6631800
SBERP;D;20180925;0;166.7;7435900
SBERP;D;20180926;0;167.26;6175300
SBERP;D;20180927;0;171.2;8840100
SBERP;D;20180928;0;171.05;6611600
SBERP;D;20181001;0;170.9;4276400
SBERP;D;20181002;0;167.85;4753400
SBERP;D;20181003;0;166.8;4599900
SBERP;D;20181004;0;161.33;5045600
SBERP;D;20181005;0;162.5;8031700
SBERP;D;20181008;0;165.5;5325900
SBERP;D;20181009;0;166.51;6473400
SBERP;D;20181010;0;164.43;3256900
SBERP;D;20181011;0;162.1;7459500
SBERP;D;20181012;0;166.75;4822800
SBERP;D;20181015;0;165.42;2962300
SBERP;D;20181016;0;168.69;3414300
SBERP;D;20181017;0;165.91;5152000
SBERP;D;20181018;0;163.35;2217100
SBERP;D;20181019;0;159.99;5439600
