<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20181022;0;156.6;6331500
SBERP;D;20181023;0;158.69;5665700
SBERP;D;20181024;0;163.19;7188600
SBERP;D;20181025;0;160.8;3383200
SBERP;D;20181026;0;156.24;5529200
SBERP;D;20181029;0;161.3;4247100
SBERP;D;20181030;0;161.2;4518300
SBERP;D;20181031;0;163.3;5178400
SBERP;D;20181101;0;163.23;5415800
SBERP;D;20181102;0;165.67;4772710
SBERP;D;20181106;0;169.49;4368270
SBERP;D;20181107;0;173.8;7469830
SBERP;D;20181108;0;173.3;8432500
SBERP;D;20181109;0;169.88;7429350
SBERP;D;20181112;0;171.11;6397280
SBERP;D;20181113;0;171.5;4907330
SBERP;D;20181114;0;173.63;4979860
SBERP;D;20181115;0;173.49;4157260
SBERP;D;20181116;0;173.4;3767270
SBERP;D;20181119;0;171.9;3042320
SBERP;D;20181120;0;169;4801420
SBERP;D;20181121;0;172;3111870
SBERP;D;20181122;0;172.9;2713990
SBERP;D;20181123;0;171.3;3694580
SBERP;D;20181126;0;166.5;8795230
SBERP;D;20181127;0;167.29;4114550
SBERP;D;20181128;0;167.4;2561700
SBERP;D;20181129;0;171.5;5213780
SBERP;D;20181130;0;169;2911260
SBERP;D;20181203;0;173.5;6282770
SBERP;D;20181204;0;172.54;2842520
SBERP;D;20181205;0;170.1;2952190
SBERP;D;20181206;0;167.8;4594720
SBERP;D;20181207;0;171.1;3319460
SBERP;D;20181210;0;169;2773610
SBERP;D;20181211;0;169.5;4428130
SBERP;D;20181212;0;168.4;2128710
SBERP;D;20181213;0;166.92;3389140
SBERP;D;20181214;0;164.99;6722320
SBERP;D;20181217;0;163.48;3834350
SBERP;D;20181218;0;164.75;5317000
SBERP;D;20181219;0;165.47;5262310
SBERP;D;20181220;0;166.85;4541600
SBERP;D;20181221;0;164.98;2783930
SBERP;D;20181224;0;164.49;2641950
SBERP;D;20181225;0;163;2792490
SBERP;D;20181226;0;163.65;1972510
SBERP;D;20181227;0;164;2613470
SBERP;D;20181228;0;165.07;1424800
SBERP;D;20181229;0;166.18;705490
SBERP;D;20190103;0;165.44;3537790
SBERP;D;20190104;0;167.27;1312260
SBERP;D;20190108;0;167.01;3473430
SBERP;D;20190109;0;169.8;7285440
SBERP;D;20190110;0;169.79;3697780
